ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,win_times
18,25,34,37,41,42,1
5,15,23,38,40,41,1
7,28,30,34,35,42,1
4,10,15,18,21,28,1
4,6,7,19,25,33,1
2,10,14,22,24,36,1
11,12,22,26,40,41,1
9,13,16,17,37,41,1
9,12,13,14,25,42,1
13,16,17,18,24,27,1
9,10,16,17,35,38,1
4,13,15,17,20,34,1
9,11,18,25,34,38,1
10,13,17,22,29,32,1
4,24,30,31,34,41,1
5,7,10,11,14,27,1
8,13,16,22,36,38,1
7,18,21,28,29,30,1
3,15,19,27,30,34,1
4,8,11,19,25,32,1
11,16,17,24,35,41,1
5,14,23,24,30,42,1
7,14,20,29,34,35,1
1,17,20,21,30,36,1
5,14,19,23,27,29,1
3,10,16,18,23,33,1
11,18,20,22,34,39,1
2,14,16,21,36,41,1
13,19,23,26,31,35,1
5,9,14,15,33,35,1
7,9,16,20,22,37,1
5,13,20,25,33,35,1
1,2,7,12,24,39,1
7,17,24,31,37,38,1
8,10,13,21,23,25,1
2,6,18,20,25,41,1
8,27,29,30,37,39,1
3,7,9,14,18,41,1
20,25,30,31,35,38,1
4,29,33,34,36,39,1
3,5,8,17,19,26,1
8,18,34,37,38,39,1
9,16,20,28,30,33,1
12,13,14,22,26,33,1
13,21,24,26,29,30,1
4,17,24,30,35,37,1
2,6,10,19,27,33,1
17,28,37,38,39,42,1
3,10,14,15,33,34,1
7,9,12,21,24,26,1
2,3,4,6,8,22,1
11,13,14,15,16,31,1
11,26,28,31,33,37,1
5,12,19,24,27,32,1
15,16,25,36,38,41,1
11,13,15,20,27,28,1
22,25,31,33,38,39,1
3,6,9,14,18,27,1
1,9,12,20,23,42,1
2,16,18,33,36,38,1
25,26,28,31,39,42,1
2,7,21,28,31,41,1
1,9,13,19,22,36,1
10,27,33,34,35,41,1
4,5,18,30,34,42,1
17,21,28,30,36,38,1
1,3,9,14,27,28,1
2,17,21,24,30,32,1
3,5,8,11,29,31,1
1,7,8,9,23,30,1
2,11,13,22,27,36,1
3,8,32,36,39,40,1
1,6,28,34,35,42,1
5,6,8,28,35,41,1
10,23,26,28,36,38,1
2,11,12,18,27,30,1
3,19,25,30,33,41,1
15,27,33,34,37,41,1
9,12,22,27,33,41,1
1,5,7,12,36,40,1
10,15,19,27,29,35,1
10,14,24,33,35,39,1
2,6,11,27,33,35,1
6,29,34,38,41,42,1
5,17,18,22,23,24,1
6,10,19,33,34,38,1
2,19,25,28,32,33,1
4,5,6,8,17,29,1
1,5,12,16,27,38,1
20,25,27,29,34,41,1
4,12,19,29,39,40,1
8,12,19,28,33,38,1
12,16,23,25,37,41,1
1,2,12,32,34,36,1
14,21,23,24,25,38,1
8,12,16,31,38,40,1
8,16,19,28,29,34,1
6,11,13,18,19,24,1
10,14,17,35,37,39,1
6,11,12,22,26,33,1
3,4,7,14,31,37,1
6,8,23,33,34,41,1
1,12,34,35,36,39,1
2,8,14,31,37,38,1
16,18,31,33,38,41,1
11,19,24,29,34,37,1
1,10,25,30,31,35,1
4,15,16,27,31,42,1
7,12,18,33,39,40,1
1,17,20,21,22,39,1
6,18,24,27,29,39,1
1,11,15,23,25,34,1
4,5,9,13,28,38,1
4,5,15,26,27,32,1
16,20,22,26,31,34,1
17,24,26,33,35,41,1
7,9,16,27,39,42,1
7,20,27,30,37,41,1
9,12,13,15,18,22,1
1,10,11,12,20,42,1
2,4,14,21,22,36,1
2,3,11,14,15,28,1
18,20,32,37,38,41,1
1,12,22,33,34,38,1
6,11,13,16,22,33,1
3,6,13,28,34,37,1
13,22,23,30,34,37,1
6,10,11,23,24,34,1
9,12,17,19,22,33,1
6,8,11,25,32,36,1
4,20,24,32,38,39,1
9,13,28,29,30,42,1
8,12,15,22,30,32,1
10,22,24,30,34,36,1
1,6,8,29,36,39,1
1,6,21,23,37,38,1
7,8,19,25,33,39,1
9,10,15,20,22,42,1
2,5,14,36,39,40,1
1,9,27,28,35,40,1
14,17,25,29,32,34,1
17,31,33,37,39,40,1
8,11,16,27,28,30,1
5,18,21,25,33,37,1
10,14,23,29,32,37,1
11,18,21,29,31,33,1
5,7,19,27,32,38,1
3,6,19,24,37,40,1
2,5,15,18,38,40,1
10,24,25,28,35,42,1
7,13,17,30,31,42,1
4,7,16,18,30,37,1
1,14,20,28,31,40,1
17,26,35,37,39,40,1
4,8,9,21,34,36,1
8,19,25,33,39,40,1
7,15,25,30,32,34,1
10,19,22,23,31,32,1
2,14,15,21,25,37,1
5,10,15,25,36,39,1
10,13,23,27,33,42,1
7,19,20,28,29,35,1
5,16,17,26,30,34,1
4,12,17,18,30,42,1
8,18,21,26,30,35,1
2,28,31,33,36,41,1
5,14,20,26,36,39,1
12,13,29,34,35,38,1
8,15,19,27,28,34,1
10,16,29,35,38,42,1
3,10,13,17,33,42,1
3,7,28,33,40,41,1
5,10,18,23,32,33,1
11,16,18,20,31,36,1
8,11,13,18,27,40,1
9,18,19,25,30,42,1
6,8,14,19,23,41,1
6,8,10,18,24,38,1
4,7,14,17,25,38,1
5,8,9,12,19,27,1
17,20,23,28,33,34,1
1,9,15,25,28,40,1
13,21,24,29,41,42,1
4,12,32,38,40,42,1
4,21,25,27,29,38,1
1,5,7,10,23,37,1
1,17,18,21,39,42,1
3,5,17,18,31,36,1
11,17,19,22,25,36,1
4,12,14,15,36,37,1
3,4,6,11,25,34,1
9,16,20,23,36,39,1
1,9,11,13,34,37,1
6,7,22,29,32,36,1
6,12,13,22,27,30,1
1,12,27,29,33,41,1
4,5,11,22,24,38,1
5,7,9,21,27,36,1
14,21,29,33,35,40,1
2,14,21,24,32,36,1
2,9,14,15,25,28,1
15,26,28,30,33,41,1
8,10,13,26,27,40,1
21,22,24,28,29,38,1
3,9,14,27,29,32,1
7,12,21,23,37,41,1
10,14,20,21,30,32,1
10,13,22,24,33,42,1
1,4,9,31,38,39,1
4,11,23,29,34,42,1
3,4,6,10,11,38,1
5,16,27,28,29,40,1
2,9,11,16,19,33,1
9,15,16,31,32,33,1
4,8,9,19,21,28,1
11,13,20,21,22,29,1
2,6,15,17,20,35,1
2,5,7,17,28,39,1
1,7,17,25,30,37,1
2,6,8,23,26,27,1
9,19,23,30,32,35,1
4,6,19,29,32,38,1
3,4,18,19,28,42,1
8,10,13,19,31,32,1
13,22,23,26,29,35,1
5,18,33,34,37,41,1
7,15,20,21,23,24,1
16,21,23,24,30,31,1
3,5,6,22,29,33,1
17,19,26,28,37,42,1
5,8,10,16,19,31,1
4,16,19,22,31,35,1
3,9,15,24,33,42,1
11,12,14,29,30,40,1
11,15,21,30,34,35,1
14,17,24,26,27,34,1
12,13,14,18,22,36,1
4,8,14,23,34,37,1
14,16,31,34,35,41,1
4,12,15,22,23,25,1
3,19,25,37,40,42,1
1,6,13,16,27,38,1
6,12,14,19,35,41,1
3,4,5,16,28,42,1
7,10,25,28,31,40,1
11,15,18,22,23,35,1
3,8,18,27,29,35,1
3,14,21,26,32,40,1
2,17,19,21,26,36,1
2,15,18,21,30,32,1
1,4,28,35,38,42,1
12,15,33,38,39,41,1
28,19,16,37,36,5,1
