ball_1,ball_2,ball_3,ball_4,ball_5,win_times
2,16,28,36,38,1
14,19,20,24,35,1
2,16,21,36,38,1
2,16,21,28,38,1
2,16,21,28,36,1
9,17,34,40,41,1
3,17,34,40,41,1
3,9,34,40,41,1
3,9,17,40,41,1
3,9,17,34,41,1
1,5,6,12,25,1
1,5,6,13,25,1
1,5,12,13,25,1
1,6,12,13,25,1
3,16,18,20,38,1
3,16,17,20,38,1
3,16,17,18,38,1
3,16,17,18,20,1
15,33,34,39,41,1
14,33,34,39,41,1
14,15,34,39,41,1
14,15,33,39,41,1
14,15,33,34,41,1
14,15,33,34,39,1
16,21,26,37,41,1
3,21,26,37,41,1
3,16,26,37,41,1
3,16,21,37,41,1
3,16,21,26,41,1
3,16,21,26,37,1
5,6,12,13,25,1
3,9,17,34,40,1
2,25,26,31,40,1
1,25,26,31,40,1
6,15,19,25,39,1
10,17,37,38,42,1
2,17,37,38,42,1
2,10,37,38,42,1
2,10,17,38,42,1
2,10,17,37,42,1
2,10,17,37,38,1
17,23,35,37,38,1
8,23,35,37,38,1
8,17,35,37,38,1
8,17,23,37,38,1
8,17,23,35,38,1
8,17,23,35,37,1
19,20,24,35,39,1
14,20,24,35,39,1
14,19,24,35,39,1
14,19,20,35,39,1
14,19,20,24,39,1
6,15,19,25,30,1
6,15,19,30,39,1
1,2,26,31,40,1
6,15,25,30,39,1
1,2,25,31,40,1
1,2,25,26,40,1
1,2,25,26,31,1
16,22,33,35,42,1
13,22,33,35,42,1
13,16,33,35,42,1
13,16,22,35,42,1
13,16,22,33,42,1
13,16,22,33,35,1
7,24,25,37,42,1
3,24,25,37,42,1
3,7,25,37,42,1
3,7,24,37,42,1
3,7,24,25,42,1
3,7,24,25,37,1
15,19,25,30,39,1
6,19,25,30,39,1
13,23,29,31,36,1
5,13,29,31,36,1
16,17,18,20,38,1
4,8,10,22,30,1
2,9,15,24,40,1
2,9,15,21,40,1
2,9,15,21,24,1
8,10,22,30,37,1
4,10,22,30,37,1
4,8,22,30,37,1
4,8,10,30,37,1
4,8,10,22,37,1
19,21,24,29,38,1
1,24,25,30,37,1
2,21,24,29,38,1
2,19,24,29,38,1
2,19,21,29,38,1
2,19,21,24,38,1
2,19,21,24,29,1
6,9,13,20,39,1
5,9,13,20,39,1
5,6,13,20,39,1
2,9,21,24,40,1
2,15,21,24,40,1
9,15,21,24,40,1
2,10,17,20,37,1
13,15,17,29,32,1
3,15,17,29,32,1
3,13,17,29,32,1
3,13,15,29,32,1
3,13,15,17,32,1
3,13,15,17,29,1
12,17,20,25,32,1
10,17,20,25,32,1
10,12,20,25,32,1
10,12,17,25,32,1
10,12,17,20,32,1
10,12,17,20,25,1
10,17,20,37,41,1
2,17,20,37,41,1
2,10,20,37,41,1
2,10,17,37,41,1
2,10,17,20,41,1
5,6,9,20,39,1
5,6,9,13,39,1
5,6,9,13,20,1
9,11,19,24,30,1
9,11,16,19,30,1
9,11,16,19,24,1
13,18,20,21,38,1
9,18,20,21,38,1
9,13,20,21,38,1
9,13,18,21,38,1
9,13,18,20,38,1
9,13,18,20,21,1
4,10,22,39,41,1
3,10,22,39,41,1
3,4,22,39,41,1
3,4,10,39,41,1
3,4,10,22,41,1
3,4,10,22,39,1
16,17,28,35,37,1
10,17,28,35,37,1
10,16,28,35,37,1
9,11,16,24,30,1
9,16,19,24,30,1
14,23,27,39,42,1
11,16,19,24,30,1
6,23,27,39,42,1
6,14,27,39,42,1
6,14,23,39,42,1
6,14,23,27,42,1
6,14,23,27,39,1
5,6,16,30,31,1
2,6,16,30,31,1
2,5,16,30,31,1
2,5,6,30,31,1
2,5,6,16,31,1
2,5,6,16,30,1
