game_number,day,month,year,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,super_ball,MEGA_JACK_POT_WINNERS,MEGA_JACK_POT_SUMM,MEGA_PRISE_WINNERS,MEGA_PRISE_SUMM,5_plus_MegaBall_WINNERS,5_plus_MegaBall_SUMM,5_Balls_WINNERS,5_Balls_SUMM,4_plus_MegaBall_WINNERS,4_plus_MegaBall_SUMM,4_Balls_WINNERS,4_Balls_SUMM,3_plus_MegaBall_WINNERS,3_plus_MegaBall_SUMM,3_Balls_WINNERS,3_Balls_SUMM
1230,12,6,2013,07,29,33,36,38,39,2,0,15000000,0,7500000,1,17496,5,8748,46,432,228,216,612,46,3634,23
1231,15,6,2013,22,23,24,26,27,34,1,0,15000000,0,7500000,0,0,20,2984,25,450,319,225,529,46,4258,23
1232,19,6,2013,05,15,18,19,27,40,7,0,15000000,1,7500000,0,0,8,6589,50,412,257,206,668,42,3775,21
1233,22,6,2013,16,30,34,36,37,42,5,0,15000000,0,2500000,2,10004,9,5002,71,330,301,165,812,44,3808,22
1234,26,6,2013,11,12,18,21,26,36,3,0,15000000,0,2600000,1,23352,3,11676,44,404,237,202,802,42,3530,21
1235,29,6,2013,10,12,14,15,24,40,8,0,15000000,0,2700000,0,0,5,10732,39,488,229,244,475,46,3791,23
1236,3,7,2013,08,11,17,21,30,36,5,0,15000000,0,2800000,1,11094,9,5547,48,366,279,183,729,40,4142,20
1237,6,7,2013,03,04,07,20,28,35,3,0,15000000,0,2900000,0,0,4,14001,53,380,304,190,821,38,4482,19
1238,10,7,2013,01,16,17,19,30,39,6,0,15000000,0,3000000,0,0,7,7711,68,452,200,226,746,44,3490,22
1239,13,7,2013,07,11,25,27,38,39,8,0,15000000,0,3100000,0,0,5,11263,31,532,235,266,532,46,3904,23
1240,17,7,2013,18,20,24,25,26,40,0,0,15000000,0,3200000,0,0,6,9149,38,504,229,252,477,44,4036,22
1241,20,7,2013,08,18,19,21,23,40,6,0,15000000,0,3300000,1,31780,2,15890,47,432,238,216,621,44,3991,22
1242,24,7,2013,02,04,06,13,16,28,2,0,15000000,0,3400000,1,14190,7,7095,80,304,312,152,806,36,4633,18
1243,27,7,2013,04,09,26,27,31,39,5,0,15000000,0,3500000,1,25864,3,12932,38,510,210,255,717,48,3515,24
1244,31,7,2013,04,05,17,22,31,38,6,0,15000000,0,3600000,2,16886,3,8443,44,416,232,208,493,48,3572,24
1245,3,8,2013,09,16,28,29,30,31,1,0,15000000,0,3700000,1,14176,7,7088,37,410,276,205,562,48,3795,24
1246,7,8,2013,03,05,23,27,38,40,1,0,15000000,0,3800000,0,0,1,55655,15,630,220,315,581,48,3685,24
1247,10,8,2013,02,04,12,19,33,40,4,0,15000000,0,3900000,4,10724,4,5362,63,394,242,197,743,44,3818,22
1248,14,8,2013,22,23,24,25,29,37,5,0,15000000,0,4000000,0,0,8,7028,58,366,315,183,749,46,3410,23
1249,17,8,2013,05,10,13,31,38,42,9,0,15000000,0,4100000,0,0,2,29742,34,526,249,263,661,48,3796,24
1250,21,8,2013,05,13,19,36,39,40,5,0,15000000,0,4200000,0,0,3,19159,49,496,227,248,733,46,3617,23
1251,24,8,2013,01,03,20,24,31,39,2,0,15000000,0,4300000,1,26680,3,13340,36,546,204,273,623,50,3623,25
1252,28,8,2013,01,02,15,17,22,42,2,0,15000000,0,4400000,3,15868,2,7934,47,470,210,235,627,46,3808,23
1253,31,8,2013,05,10,12,19,29,38,5,0,15000000,0,4500000,1,16630,6,8315,63,356,295,178,887,42,3827,21
1254,4,9,2013,01,04,22,23,28,35,5,0,15000000,0,4600000,0,0,7,8144,34,608,195,304,490,52,3499,26
1255,7,9,2013,06,17,19,25,29,36,1,0,15000000,0,4700000,2,15158,5,7579,21,396,346,198,551,44,4464,22
1256,11,9,2013,11,14,15,16,33,37,8,0,15000000,0,4800000,1,12194,9,6097,57,332,341,166,712,38,5085,19
1257,14,9,2013,02,10,17,22,33,36,6,0,15000000,0,4900000,1,22834,4,11417,41,424,282,212,638,48,3994,24
1258,18,9,2013,13,18,22,24,35,36,0,0,15000000,0,5000000,0,0,6,9344,15,634,219,317,465,48,3923,24
1259,21,9,2013,07,16,19,34,40,42,0,0,15000000,0,5000000,1,11498,10,5749,26,416,321,208,515,42,4903,21
1260,25,9,2013,09,16,26,37,38,39,7,0,15000000,0,5000000,2,15818,4,7909,40,470,224,235,996,42,3477,21
1261,28,9,2013,04,05,08,14,21,31,9,0,15000000,0,5000000,2,8856,11,4428,60,308,366,154,812,38,4733,19
1262,2,10,2013,04,09,16,25,35,38,3,0,15000000,0,5000000,0,0,7,7804,47,526,197,263,623,48,3356,24
1263,5,10,2013,05,25,31,33,34,38,1,0,15000000,0,5000000,0,0,1,59187,16,678,214,339,467,56,3472,28
1264,9,10,2013,01,08,17,26,28,37,3,0,15000000,0,5000000,1,27524,3,13762,36,450,272,225,632,50,3728,25
1265,12,10,2013,24,25,30,38,39,42,1,0,15000000,0,5000000,1,36118,2,18059,20,654,209,327,512,54,3910,27
1266,16,10,2013,03,11,19,26,32,34,1,0,15000000,0,5000000,2,13938,6,6969,44,414,292,207,556,46,4432,23
1267,19,10,2013,05,08,09,28,39,41,1,0,15000000,0,5000000,0,0,7,8815,24,584,248,292,464,52,4008,26
1268,23,10,2013,01,15,16,21,22,27,6,0,15000000,0,5000000,2,7754,13,3877,46,378,301,189,751,40,4393,20
1269,26,10,2013,03,06,07,20,26,29,5,0,15000000,0,5000000,1,16598,7,8299,74,338,351,169,1067,36,5353,18
1270,30,10,2013,02,10,11,18,21,22,9,0,15000000,0,5000000,1,6382,18,3191,41,336,347,168,634,40,4585,20
1271,2,11,2013,05,06,14,22,23,33,3,0,15000000,0,5000000,5,6980,12,3490,82,324,369,162,997,40,4965,20
1272,6,11,2013,05,11,16,20,30,31,4,0,15000000,0,5000000,2,10536,9,5268,59,402,266,201,839,42,4281,21
1273,9,11,2013,01,04,05,08,26,36,9,0,15000000,0,5000000,2,13128,7,6564,36,398,337,199,676,44,4598,22
1274,13,11,2013,08,17,20,22,23,38,7,0,15000000,0,5000000,1,28332,3,14166,53,472,232,236,891,46,3903,23
1275,16,11,2013,01,05,22,25,27,31,8,0,15000000,0,5000000,0,0,10,6214,49,478,266,239,552,48,4138,24
1276,20,11,2013,03,08,24,31,32,40,3,0,15000000,0,5000000,0,0,2,29315,50,444,269,222,711,44,3987,22
1277,23,11,2013,02,13,22,31,32,41,1,0,15000000,0,5000000,1,15410,7,7705,34,428,298,214,635,46,4273,23
1278,27,11,2013,13,26,27,28,31,34,2,0,15000000,0,5000000,1,20934,4,10467,30,564,191,282,611,48,3455,24
1279,30,11,2013,07,10,14,21,22,42,6,0,15000000,0,5000000,1,12964,8,6482,60,292,381,146,760,40,4443,20
1280,4,12,2013,05,06,14,21,29,35,7,0,15000000,0,5000000,0,0,9,5793,41,456,237,228,798,42,3541,21
